route_id,agency_id,route_short_name,route_long_name,route_type
routes:IC2344,0,IC2344,Brussel-Nat-Luchthaven - Kortrijk,2
routes:IC2505,0,IC2505,Namen - Dinant,2
routes:IC2604,0,IC2604,Antwerpen-Centraal - Leuven,2
routes:IC2623,0,IC2623,Brussel-Nat-Luchthaven - Leuven,2
routes:IC2845,0,IC2845,Brussel-Nat-Luchthaven - Brussel-Zuid,2
routes:IC2905,0,IC2905,Hasselt - Luik-Guillemins,2
routes:IC2909,0,IC2909,Antwerpen-Centraal - Luik-Guillemins,2
routes:IC2911,0,IC2911,Antwerpen-Centraal - Luik-Guillemins,2
routes:IC2913,0,IC2913,Antwerpen-Centraal - Luik-Guillemins,2
routes:IC2915,0,IC2915,Antwerpen-Centraal - Luik-Guillemins,2
routes:IC2917,0,IC2917,Antwerpen-Centraal - Luik-Guillemins,2
routes:IC2920,0,IC2920,Antwerpen-Centraal - Tongeren,2
routes:IC2922,0,IC2922,Antwerpen-Centraal - Hasselt,2
routes:IC2929,0,IC2929,Luik-Guillemins - Antwerpen-Centraal,2
routes:IC2931,0,IC2931,Luik-Guillemins - Antwerpen-Centraal,2
routes:IC2933,0,IC2933,Luik-Guillemins - Antwerpen-Centraal,2
routes:IC2935,0,IC2935,Luik-Guillemins - Antwerpen-Centraal,2
routes:IC2937,0,IC2937,Luik-Guillemins - Antwerpen-Centraal,2
routes:IC2939,0,IC2939,Luik-Guillemins - Antwerpen-Centraal,2
routes:IC2941,0,IC2941,Luik-Guillemins - Antwerpen-Centraal,2
routes:IC3105,0,IC3105,Charleroi-Zuid - Antwerpen-Centraal,2
routes:IC3107,0,IC3107,Charleroi-Zuid - Antwerpen-Centraal,2
routes:IC3109,0,IC3109,Charleroi-Zuid - Antwerpen-Centraal,2
routes:IC3111,0,IC3111,Charleroi-Zuid - Antwerpen-Centraal,2
routes:IC3113,0,IC3113,Charleroi-Zuid - Antwerpen-Centraal,2
routes:IC3115,0,IC3115,Charleroi-Zuid - Antwerpen-Centraal,2
routes:IC3117,0,IC3117,Charleroi-Zuid - Antwerpen-Centraal,2
routes:IC3119,0,IC3119,Charleroi-Zuid - Antwerpen-Centraal,2
routes:IC3121,0,IC3121,Charleroi-Zuid - Antwerpen-Centraal,2
routes:IC3127,0,IC3127,Antwerpen-Centraal - Charleroi-Zuid,2
routes:IC3129,0,IC3129,Antwerpen-Centraal - Charleroi-Zuid,2
routes:IC3131,0,IC3131,Antwerpen-Centraal - Charleroi-Zuid,2
routes:IC3133,0,IC3133,Antwerpen-Centraal - Charleroi-Zuid,2
routes:IC3135,0,IC3135,Antwerpen-Centraal - Charleroi-Zuid,2
routes:IC3137,0,IC3137,Antwerpen-Centraal - Charleroi-Zuid,2
routes:IC3139,0,IC3139,Antwerpen-Centraal - Charleroi-Zuid,2
routes:IC3141,0,IC3141,Antwerpen-Centraal - Charleroi-Zuid,2
routes:IC3143,0,IC3143,Antwerpen-Centraal - Charleroi-Zuid,2
routes:IC3306,0,IC3306,Binche - Antwerpen-Centraal,2
routes:IC3308,0,IC3308,Binche - Antwerpen-Centraal,2
routes:IC3310,0,IC3310,Binche - Antwerpen-Centraal,2
routes:IC3312,0,IC3312,Binche - Antwerpen-Centraal,2
routes:IC3314,0,IC3314,Binche - Antwerpen-Centraal,2
routes:IC3316,0,IC3316,Binche - Antwerpen-Centraal,2
routes:IC3318,0,IC3318,Binche - Antwerpen-Centraal,2
routes:IC3323,0,IC3323,Binche - Antwerpen-Centraal,2
routes:IC3327,0,IC3327,Antwerpen-Centraal - Binche,2
routes:IC3329,0,IC3329,Antwerpen-Centraal - Binche,2
routes:IC3331,0,IC3331,Antwerpen-Centraal - Binche,2
routes:IC3333,0,IC3333,Antwerpen-Centraal - Binche,2
routes:IC3336,0,IC3336,Antwerpen-Centraal - Binche,2
routes:IC3338,0,IC3338,Antwerpen-Centraal - Binche,2
routes:IC3341,0,IC3341,Antwerpen-Centraal - Binche,2
routes:IC3343,0,IC3343,Antwerpen-Centraal - Binche,2
routes:IC3728,0,IC3728,Brussel-Nat-Luchthaven - Bergen,2
routes:IC3731,0,IC3731,Brussel-Nat-Luchthaven - Bergen,2
routes:IC3733,0,IC3733,Brussel-Nat-Luchthaven - Bergen,2
routes:IC3736,0,IC3736,Brussel-Nat-Luchthaven - Bergen,2
routes:IC3739,0,IC3739,Brussel-Nat-Luchthaven - Bergen,2
routes:IC3742,0,IC3742,Brussel-Nat-Luchthaven - Bergen,2
routes:IC3744,0,IC3744,Brussel-Noord - Bergen,2
routes:IC3822,0,IC3822,Moeskroen - Bergen,2
routes:IC3845,0,IC3845,Liers - Namen,2
routes:IC3910,0,IC3910,Charleroi-Zuid - Couvin,2
routes:IC3914,0,IC3914,Charleroi-Zuid - Couvin,2
routes:IC3918,0,IC3918,Charleroi-Zuid - Couvin,2
routes:IC3922,0,IC3922,Charleroi-Zuid - Couvin,2
routes:IC3929,0,IC3929,Couvin - Charleroi-Zuid,2
routes:IC3933,0,IC3933,Couvin - Charleroi-Zuid,2
routes:IC3937,0,IC3937,Couvin - Charleroi-Zuid,2
routes:IC3941,0,IC3941,Couvin - Charleroi-Zuid,2
routes:IC4207,0,IC4207,Turnhout - Antwerpen-Centraal,2
routes:IC4210,0,IC4210,Turnhout - Antwerpen-Centraal,2
routes:IC4212,0,IC4212,Turnhout - Antwerpen-Centraal,2
routes:IC4214,0,IC4214,Turnhout - Antwerpen-Centraal,2
routes:IC4216,0,IC4216,Turnhout - Antwerpen-Centraal,2
routes:IC4218,0,IC4218,Turnhout - Antwerpen-Centraal,2
routes:IC4220,0,IC4220,Turnhout - Antwerpen-Centraal,2
routes:IC4222,0,IC4222,Turnhout - Antwerpen-Centraal,2
routes:IC4229,0,IC4229,Antwerpen-Centraal - Turnhout,2
routes:IC4231,0,IC4231,Antwerpen-Centraal - Turnhout,2
routes:IC4233,0,IC4233,Antwerpen-Centraal - Turnhout,2
routes:IC4235,0,IC4235,Antwerpen-Centraal - Turnhout,2
routes:IC4237,0,IC4237,Antwerpen-Centraal - Turnhout,2
routes:IC4239,0,IC4239,Antwerpen-Centraal - Turnhout,2
routes:IC4241,0,IC4241,Antwerpen-Centraal - Turnhout,2
routes:IC4243,0,IC4243,Antwerpen-Centraal - Turnhout,2
routes:IC4408,0,IC4408,Mol - Hasselt,2
routes:IC4412,0,IC4412,Mol - Hasselt,2
routes:IC4416,0,IC4416,Mol - Hasselt,2
routes:IC4420,0,IC4420,Mol - Hasselt,2
routes:IC4431,0,IC4431,Hasselt - Mol,2
